completion	prompt
Go to Hell.	Dad, can I go to a rap concert? Tickets are fifty dollars.
Fine, go nuts.	Okay, what if I pay for it myself?
I love you too, Jerry.	I love you, Dad.
Son, your mother makes a very loud point...	Oh did he? Homer, you tell your son a rap show is not a safe place for a ten-year-old!
Boy, let me explain the situation in terms you'll understand.	But you said I could go if I paid for the ticket!
YOU DID IT ON THE STRAIGHT, GOT YOUR DAD'S PERMISSION / BUT YOUR MOM DROPPED A BOMB, SO I FLIPPED MY POSITION	Boy, let me explain the situation in terms you'll understand.
BABY BOY, BABY BOY, BA-BA-BA-BABY BOY	FRESH FR-FR-FRESH FOR MOMMY'S BABY BOY
Bart's gone! I checked everywhere!	Here you go, you little yellow cracker... Now let's go murder our enemies. Peace.
If that's true, he's gonna be like NWA -- Not Without Ass-welts.	That little sneak disobeyed us and went to that hip-hop festival!
A flying rock! Call a geologist!	Well, time to face my punishment like a man... Or, lie my way out of it like a kid.
"""Follow instructions?"" He's doomed!"	We have kidnapped your son. Follow instructions and Bart will not be harmed.
This'll be the worst Thanksgiving dinner ever.	"""Follow instructions?"" He's doomed!"
The bad news keeps on coming.	Thanksgiving's not for months.
Y'ello?	Avenge me!
Oh yeah? Send a finger wrapped in today's paper to prove you have him.	Do what I say and Bart won't get hurt.
I know what I'm doing. You can use any section of the paper. Except Metro. It's a big snooze.	Homer!
Oh son!... Taking your tombstone back to the store will be the happiest thing I've ever done.	Oh Bart, I'm so glad you're okay.
...Bart was never kidnapped! Lisa, I'm very glad you brought me this. I'll see that it gets to the proper authorities.	A shirt from that rap concert... Bart must've gone to the show. But that means...
Hollywood producers have paid me a fortune, which I've already lost, for the rights to Bart's story. So I have to destroy anything that proves that story's not true.	Dad!? Why did you do that?
What shirt? I don't see any shirt.	Why did you burn up your shirt?
Burn the truth. Burn the truth.	What shirt? I don't see any shirt.
You leave Maggie to me.	All right, people, we got a situation here. Your daughter's gonna blow our whole deal sky high.
Not her! She'll hunt us down relentlessly -- like a bloodhound mixed with a student loan officer!	No, Lisa!
Wow, those jackets are beautiful.	Wait, before we go, I took the liberty of making these embroidered conspiracy jackets for all of us.
The lie is love.	Wait a minute. Why do we have to come clean? Nobody's been hurt. Everyone's happier with the lie.
Love the lie!	Wait just a minute.
Yeah, be cool. Like us.	That's a very noble sentiment, Lisa. But for once in your life, can't you just be cool?
Coolee, coolee cool! C'mon, fool! Be coolee, coolee cool!	Yeah, be cool. Like us.
Lisa, the world is a very complicated place. And when you get right down to it... cannonball!	Dad, I don't understand. After all the corruption and deceit we've witnessed, how can everyone just party?
Eh, who needs tourists? They never buy my maps to stars' homes, anyway.	I hope this bad publicity doesn't affect tourism.
Have you read them all? Okay, good.	Eh, who needs tourists? They never buy my maps to stars' homes, anyway.
Two hundred bucks a couple, eh?	Lovejoy's an idiot -- his church is giving up hot gobs of gay green. He could get two hundred bucks a couple.
Hey, I gotta get in on this! These people have rights! The right to buy me a sixty-two inch TV!	Two hundred bucks a couple, eh?
Now begins the long and spiritual journey to becoming an ordained minister.	Hey, I gotta get in on this! These people have rights! The right to buy me a sixty-two inch TV!
"Let's see, ""Name"" ""Homer Simpson""."	Now begins the long and spiritual journey to becoming an ordained minister.
Now to answer all the pop-ups. Ooh, a talking moose wants my credit card number. That's only fair.	You are now an ordained minister.
...And do you, Julio, take Thad to be your lawful wedded life partner, in Massachusetts and Vermont... maybe Canada... stay outta Texas... as long as you both are gay?	Now to answer all the pop-ups. Ooh, a talking moose wants my credit card number. That's only fair.
It brings me great joy to unite two such loving people. Photo mouse pads for sale out back.	I do.
Okay, what's next? Adam and Steve or Madam and Eve?	It brings me great joy to unite two such loving people. Photo mouse pads for sale out back.
Hey, what can I say? I love love.	Homer, you married every gay couple in town.
Hm... where's Lenny and Carl?	Well, all you can do now is wait for some other guys to turn.
But I'm only two hundred dollars short of fourteen thousand, eight hundred dollars.	Don't you push them! They've gotta work that out for themselves.
Opposite? Yuck!!	Well, what about people of the opposite sex who want to get married?
Hm. Well, maybe marriage isn't just for gays. What's that thing called when a guy is gay for a girl?	I mean a man and a woman.
Ooh, look at me. I'm straight as a one dollar bill. La de da. Ooh.	Straight.
Do you Cletus take Brandine to be...	Ooh, look at me. I'm straight as a one dollar bill. La de da. Ooh.
Wait a minute! Are you two brother and sister?	Do you Cletus take Brandine to be...
Please, Kent. Call me Your Holiness.	Reverend Simpson...
Oh Kent, not anything. It has to exist. Or does it?	I can't. I just can't. Homer, have we started down a slippery slope, where marriage becomes so meaningless that anyone could marry anything?
If you love the Bible so much, why don't you marry it? In fact, I now pronounce you and the Bible man and wife. And you're the wife. You owe me two hundred bucks.	Well, call me old fashioned, but I believe that marriage described in the Bible--
Which will lead to a lot more impulsive marriages. Which will put more green in the blue. The blue being my pants.	Homer, your impulsive marriages are gonna lead to a lot of divorces.
Lemme get my belt sander. Maybe I can grind the ugly off your face.	Hey Saturated Fats, I came to ask you a favor.
I wasn't joking.	Very funny.
Yeah, big surprise. Hey Marge, here's another bomb: I like beer.	Oh no. No no. No. I'm just... surprised.
Now Patty, here's a veil I picked out just for you.	Oh no. Oh no. Why would it be? I love you and I love gay marriage, so I'd be a super-hypocrite if I didn't love your gay marriage. Right?
Give it back!	It smells like cheeseburgers.
Son, that's the stupidest idea I ever heard. And I know exactly who would pay top dollar for it.	Is this one of those reality deals where a guy gets a million bucks for marrying Aunt Patty? But they have to honeymoon in a box full of snakes?
Correction. The first blimp that got her pregnant.	As opposed to you, who grabbed the first blimp that floated by.
Why you little...	Seriously Dad, I'm worried. You should go on a diet.
Save my place.	Why you little...
"Yeah, ""Bride of the Monster."""	It was so romantic -- like a scene from a Hollywood movie...
Got him! Uh-oh.	Marge, if you can find it in your heart to accept me for who I am, I would love to see you at the ceremony. If not, I'll see you at Homer's funeral...which should be pretty soon.
Oh Lord, please help me say the right words this afternoon, as I consecrate another gay union that angers you so.	Selma, we'll always be there for each other. I don't know about Marge, though. If she doesn't show up today...I have no non-identical sister!
And please let thy Holy Spirit open the heart of my wife. Amen.	Oh Lord, please help me say the right words this afternoon, as I consecrate another gay union that angers you so.
You handsome devil. Someday they'll let you and me get married! Can you imagine the children?	I just can't believe my sister would keep me in the dark all these years, then expect complete acceptance on the day she gets married.
Next!	Veronica, in you I have found a soul mate. You are the perfect woman for me: truthful, honest, hiding nothing.
If anyone knows a reason why these two should not be joined, let them speak now... or forever hold their peace.	At last I have found the yin to my yin.
People please, can we wrap this up? It's gonna rain and I've gotta get the bikes in here.	I knew it! You think everyone in the world should have a big dumb man like you!
Patty, I admire your decision. It takes courage to follow your heart and walk out on a non-refundable wedding ceremony. So I'm gonna waive the rose petal removal fee and prorate the cake-handling surcharge.	Well, I've learned a lesson. Just because you're a lesbian, it doesn't make you less of a bein'.
Oh, I just love it here. So many things, and so many things of each thing!	I have a little girl like you at home. That's where she stays. At home.
Oh, Dad. How I'll miss your cap, your walking stick, your plaster base...	Gnoooooo... mes!
Dad, where's your base?!	I'm down here, you idiot!
Eh, they'll be fine.	Don't worry about that! Someone's gotta greet the customers!
That coot happens to be my father. Please continue.	Son, you are on fire! A million times better than that worthless old coot you replaced.
Is there a chance for advancement?	How would you like to be a full-time Sprawl*Mart greeter?
Woo hoo! No pressure!	No.
Aw, dammit! Chief, how are we supposed to live with our kids constantly separated?	Yes. The clerk also gave me this bench warrant for Dad's arrest.
Don't worry, son -- no one's gonna make you count to twenty. I have a more humane solution.	How am I supposed to know if I'm twenty feet away?
This twenty-foot pole will make Bart's restraining order oh-so-easy to enforce. And I used my Sprawl*Mart employee discount to buy this fancy pole cover. It'll keep your pole looking great, poke after poke after poke!	Don't worry, son -- no one's gonna make you count to twenty. I have a more humane solution.
Show you what it's like in the real world!	Homer, why did you put the screwdriver at the end?
"Yeah, he's all ""Cowabunga, dude!"" What's that mean? Nothing, I bet."	"I like eating here with you, Dad. Especially without ""Don't have a cow, man."""
Woo hoo! That's been my dream ever since I heard it existed right now. What do I get?	Homer, would you be interested in the position of Executive Greeter?
I won't do it.	You get to work overtime without us paying you extra.
But I'm a U.S. citizen.	If you don't, we'll ship you right back to Mexico.
Dios mio!	Uh-huh. How sure of that are you?
Sorry, boy. This is the only place that's two hundred feet from Lisa but still on our property.	Sacre bleu!
Hey, why'd you lock the door? We're still inside!	Why should I go inside? The world is my toilet now.
I've never worked all night, never! And I worked at an all-night diner for three years! I slept on the grill.	It's a chance for you to catch up on all the work I'm assigning you now.
You monster!	See this? It's the bathroom key. See you in the morning.
That's it, mister. I am disgruntled. And up until now, I was relatively gruntled!	We placed a compliance chip in the back of your neck during the company physical.
I did it! I pulled it out! And with no brain damage-amage-amage-amage-amage-amage.	That's it, mister. I am disgruntled. And up until now, I was relatively gruntled!
Now, we'll get all your chips out, go to the police, and shut this place down!	I did it! I pulled it out! And with no brain damage-amage-amage-amage-amage-amage.
Really? Then why do you still work here?!	Homer, we took our chips out years ago.
I'll be back for tall kitchen bags!	I hope you won't judge us harshly...
Mmm, hot dog.	Homer, you forgot to eat your hot dog.
Son, menopause is when the stork that brings babies gets shot by drunken hunters.	What the hell's menopause?
And it's something to be feared -- right, Doctor?	It's a natural process that women of a certain age go through.
Come on kids, we should go. Goodbye, Selma.	Don't cry, sweetie. Everything's gonna be all right.
I know. That was for the other patients.	I'm not dead, idiot.
My thingies!	I know. That was for the other patients.
Great, another job lost to a foreigner.	Don't give up, Aunt Selma. China has thousands of baby girls who need adoption.
I just felt a chill go through my very soul.	Yes, Homer Simpson is my whole world. I love him.
How about that Selma, flying all of us to China for no apparent reason?	Yeah, those Sloppy Joes will do that.
And how 'bout me getting off work by saying I'm teaching math skills to inner city youths. Yes, there are many kinds of heroes.	How about that Selma, flying all of us to China for no apparent reason?
Hey look, a dragon.	Wait till the Drambuie and sleeping pills kick in.
I'll give you one.	Hello, Homer. Give me your peanuts and you can fly on my back.
Hey dragon! You fly like a girl!	Oh, you are a very greedy man. The other dragons shall hear of this.
You name it, oh wise mountain ape.	Homer, I'm gonna need you to do something for me when we get to China.
Nooooooo!!	You have to pretend to be my husband.
But Marge, I don't want her to be happy.	Homer, if you do this one small favor, it could transform Selma's life.
Deal.	Okay, don't do it for her--
Okay, I'll do it. Because your sweet love is the one thing that saved my life from being an unmitigated disaster. Ha-ha, now we're even!	Do it for me.
Wow, it makes the Lincoln Memorial look like crap.	If you look out the left side of the aircraft, you will see our monument to warrior and spicy chicken pioneer, General Gao.
And this is Marge, our surprisingly hot nanny.	Madam Wu, these are... our children, Bart and Lisa. Yes.
Don't mention it, Miss October. But don't look at her passport, it's different.	Thank you, Mr. Simpson.
I've heard of these guys. You can wave your arms at 'em and make funny faces, and they just have to stand there and take it.	These are the famous Shaolin Temple monks. They pursue spiritual peace through mastery of bare-fisted murder.
Wha?	Homer, no stop! You're thinking of Buckingham Palace!
Oh, look at him sleeping. He's like a little angel that killed fifty million people. Yes you are... yes you are!	I hope you washed your hands first.
I finally get this play!	Boys, you see what I was talking about? The greatest things can happen.
I'm a nuclear--	So, Mr. Simpson, what do you do for a living?
I'm a Chinese acrobat!	I'm a nuclear--
You guys are commies? Then why am I seeing rudimentary free markets?	Homer, we need your acrobatic skills. Only you can prevent this riot, and save our beloved Communist dictatorship.
Boy, this is easy. Maybe I am the world's greatest acrobat.	Nice chair toss. Good one, skinny. / You guys get these chairs from Regal Rents? / Boy, you're a great stacker. / Hi, Lisa. / Now that's precarious.
A.	U.S.A.! U.S.A.! U.S.--
Ooh, you're curing me with acupuncture.	A.
Awww. She likes my eyes.	This is Homer, your daddy. Without him, I wouldn't have you.
I would, but Marge would kill me... I mean ohh, right.	"Homer, I do appreciate what you did. How'd you like a little time with ""Miss October""?"
It wasn't easy, Marge -- I've missed you so much.	Homer, of all the sneaky, dishonest things you've ever done, playing Selma's husband was by far the sweetest.
Is there any other kind?	Okay, one quick snuggle.
Wow, the fortune cookies here really are more accurate.	They took my baby.
I am so sorry about what happened. But at least you saw what it was like to be married to me for a little while.	Wow, the fortune cookies here really are more accurate.
Who told you that?	Just think about the day you found that Junior Mint in your bellybutton.
Now let's see... which one is Ling?	Let's cut him in chunks and worship the chunks.
Ling?... Ling?... Ling?...	Now let's see... which one is Ling?
Ling!	Ling?... Ling?... Ling?...
I was this woman's husband for a few days, in name only, and beer will soon obliterate that memory. But I don't think this baby could find any greater love on your planet or ours.	Madam Wu, we both love the enforcement of pointless rules. But there's a greater joy in bending the rules to help someone who thinks all hope is gone.
But he loves me.	You may keep your baby. But you, drop the panda!
Why you little... I'll endanger you!	But he loves me.
Wait, you're not Bart! Eh, close enough.	Feast on my shorts, stupid father man.
Hmmm. Seems a shame to chuck out these cross-country skis. I'll keep one.	Yay!
"Let's see now... ""Kill spiders?"" We don't have spiders."	Hmmm. Seems a shame to chuck out these cross-country skis. I'll keep one.
Aha! Huh?	Stupid spider... afraid of dying.
Baaart!	Spider poison is people poison?!
Hm, where's the pain? There it is!	Baaart!
Don't worry. If I croak, you'll marry Lenny. Or Moe -- the winner will be determined by a card game I invented. I got all the rules written down... up here.	Honey... your near-fatal boo boo today really scared me. What would the kids and I do if something happened to you?
Sure, if it'll give you peace of mind. But I'm not gonna die for many, many years.	Homie, if you die, I'm gonna have three kids to take care of. I want you to buy some life insurance. Please?
Haven't we all?	Mr. Simpson, before we can insure you, we need to ask you some questions. Have you ever had a heart attack?
None. No wait, three. Since the last one, I don't remember so good.	Strokes?
Yes I am.	Are you a smoker?
Sssh! I want her to think I'm cool!	You don't smoke!
If I sign it, it still counts!	Sssh! I want her to think I'm cool!
My hemophilia!	If I sign it, it still counts!
Uninsurable?!	My hemophilia!
Huh?	You mean when the big tuna goes belly-up?
Way ahead of you, Marge -- I just ordered a series of tapes on saving money. They should get here soon. I paid a bundle for over-night delivery.	Well, I just think we should be building a nest egg.
Okay. I'll just hire a haulage firm to cart them away... at my expense!	I have a book from the library with the same information!
Directory assistance?	Okay. I'll just hire a haulage firm to cart them away... at my expense!
Well, I'll get a lawyer on that. No, a whole team of lawyers. Who will dine on mustard flown in from the Orient.	No more directory assistance! It's not free!
I'm sorry, Moe. Marge won't let me spend any money -- even counterfeit money!	Hey, hey, hey. No outside suds!
It's my money... I'm the one who earns it... drinking beer out of a thermos like an animal...	I'm sorry, Moe. Marge won't let me spend any money -- even counterfeit money!
Marge, your penny-pinching rampage has gone too far.	Can you help me unload this soup from the car? There was a sale, so I bought four hundred cans.
You can't enjoy money when you're dead, so why not have fun now?	Oh Honey, I know it's not easy, but we've got to put money away.
Hey, I earn that money -- while you lounge around here, doing laundry and putting up drywall, I'm at work busting my hump.	Last year, you spent five thousand dollars on donuts, two thousand on scalp massages, five hundred on body glitter--
Yes, President Franklin.	Give us our independence, Homer!
Well, I invented a Popsicle made of Mountain Dew.	I, uh, was never president. I invented some kind of stove.
No, I spent our savings on the down payment for a motor home. I need a castle where I can be king!	Did you spend our savings on a motor home?
Dammit!	Well I hope you enjoy it, your majesty -- 'cause I'm not speaking to you!
"Kids, your mother and I have decided to take a little break from each other. While we deal with our issues, I plan to go on ""Motorhome Makeover"" and trick this thing out like a palace, not like that dump you live in. All I need is for someone to start a show called ""Motorhome Makeover."""	Dammit!
Hey, I couldn't leave you kids. You're like my own family. Now check this place out!	I see. You were mad enough to leave our house, but not mad enough to leave our property? That's my half-assed Dad!
I've got Gameboys and caramel apples!	Oh boy!
I'll let you punch me!	I'll let you sass me!
We'll have Christmas tomorrow!	You can wear swimsuits instead of underwear!
Woo hoo! Free gas!	Yay!
Boy, I wouldn't mind driving that to the Holland, Michigan Tulip Festival.	She's a Roam-a-way SilverCoach. Thirty-four feet of walnut-burled freedom.
Hmmm. A place to dock, eh? I got room -- I have a back yard that makes my front yard look like an idiot.	I've never loved you either. We use jokes to mask our pain at the death of our son. Really.
Are you crazy? Let twelve complete strangers live on my lawn?	Can I bring the rest of the convoy?
It's a deal! Woo hoo!	Well, we'll give you regional beers.
Welcome, welcome. If my wife asks, you're here for a Boz Skaggs concert.	And there you have it.
These are my new friends. They like me for me... and my plumbing and gas hookups.	What are all these recreational vehicles doing here?
Sorry, Marge. We've got the power now. And you can't turn us off!	I know another place you can go -- to sleep!
That's no marriage bed -- it's a loveless slab of bossiness!	You don't belong on the lawn. You belong in your bed with your wife!
Name one way I'm not!	Well, you're not perfect either!
I seem to recall you asked me to get this fat!	No, I don't see Dad doing all that paperwork.
I'm Marge Simpson. Don't eat off the floor.	Oh boy. Let's get out of here before Dad does a bad impression of Mom.
That was my Woodstock!	And I'm so sick of that story about finding an onion ring in your French fries. It was twenty years ago!
Oh yeah, Marge? What about my womanly needs?	"Wow, I was gonna say ""call Reverend Lovejoy,"" but I guess this could work."
Hey, that judge thought I rocked. Case closed! Although my case is still open.	You don't take anything seriously. Not even your bankruptcy hearing!
If you need me, I'll be in my trailer!	Hey, that judge thought I rocked. Case closed! Although my case is still open.
My RV is gone! It was more than a motor home. It was a car I could go to the bathroom in. Hey, a note.	If you need me, I'll be in my trailer!
Oh, this is a parent's worst nightmare! They've stolen a car and they're home alone.	"""Dear Mom and Dad: We don't want you guys to split up, so we're driving the RV back to the dealer."" We've got to stop them."
Don't worry about the SUVs. There's a gentle curve up ahead.	Oh, I've lost them! I can't see past all the SUVs!
I'm not a machine -- I can't just turn it on!	French it up, lover boy!
Why you little...!	First, raise my allowance.
Thank God for that Turkish freighter. Now we'll just go get 'em and...	Ah, rats.
Bring back our children, you Cyprus-splitting jerks!	Help us!
Will you raise them Christian?	Just for that, we keep your children.
Noooo!	Coptic Christian.
Wow, Marge -- once again, your Mom-ly wisdom averted disaster.	Well, if he thinks he's getting a corner piece, forget it.
And I promise I will return this RV first thing in the morning. Easy... easy... easy... easy...	Wow, Marge -- once again, your Mom-ly wisdom averted disaster.
Marge, you're taking this pretty well.	Hey, it's only money. And it did make a cool splash.
Cool.	Dude, she seemed tense, so we put a little hashish in her meal.
Look, we'll compromise. We'll go see a play...that Lisa doesn't want to see.	Play?! All plays suck, all the time, and always will, and everyone knows it!
Hoot! Hoot! Hoot! Hoot! Hoot!	Hoot! Hoot! Hoot! Hoot!
Kids! Why's the cat so fat?	Hey cat, get your own pants!
Make it seven!	Let's see now... barely finished high school, you've challenged me to fight six times since the interview began...
There must have been a mistake. My body is a temple.	"""Crack, smack, uppers, downers, outters, inners, horse tranquilizers, cow paralyzers, blue bombers, green goofers, yellow submarines, LSD mach three, and trace amounts of human urine!"""
But he misread my pee! He misread my peeeee!	Guards! Remove this coked-out man balloon from my sight!
Stupid prison guard job thinks its so big. Everyone gets a prison job but me. All my best friends are guards. They think they're so cruel and corrupt, but they're not.	Ah, Smithers, if I didn't arrest you that night in the park, I'm not gonna arrest you now.
Sometimes I go to the movies alone.	Stupid prison guard job thinks its so big. Everyone gets a prison job but me. All my best friends are guards. They think they're so cruel and corrupt, but they're not.
I'm not supposed to be new meat. I'm supposed to have your job.	Okay, new meat, you're clean.
Oh my God! That man might be hurt! Guards, there's a prisoner in there!	No Frank Gehry-designed prison can hold me! Ha ha!
Squealin'? No, I just wanted to help him.	Nice nab, Simpson. You did the right thing squealin' on that guy.
Really? You mean eat cheese, gnaw through electrical cords, things like that?	Whatever. How'd you like to be a full-time rat?
Mr. Burns, I've thought about it, and I don't wanna be a snitch. It's not an honorable life.	Not exactly.
Well, I am a sucker for a little hat.	Now, now, there are perks. A private cell, extra dessert... and this adorable little hat.
Well... I don't know.	So we have an agreement?
Well, I would like to survive long enough to see the effects of global warming. I've got an inside tip that it's all a bunch of crap. Okay, you've found your snitch.	It's the only way you'll survive in here.
Homer Simpson has become a snitch.	Excellent! Now, what have you got for me?
Say, is that a gang tattoo? I thought those weren't allowed.	Tell me something I don't know.
That's right, an unauthorized tattoo. I came here right away.	Yeah, it's a gang I was in as a kid. G.M.S. Galactic Mystery Solvers. The only mystery we couldn't solve was how not to grow up.
"Who? Oh, that ""my mother."" Tell him thanks."	Your uh, mother.
Well, if you really must know...	Ooh, a Tiffany's box! And the thing inside is from Tiffany's! Homie, you've never done this before. How'd you afford it?
I'm a prison snitch.	Well, if you really must know...
Sure, they're on top of the world. Then there's a big riot scene. Then I don't know, I usually doze off.	Haven't you seen what happens to people who rat in prison movies?
What are you dopes lookin' at? You've never seen bling-bling before?	The prison snitch is killed! And that could be you! Because you're the prison snitch!
How come nobody told me before?	Pssst. There's a jailbreak tonight.
There's gonna be a breakout tonight.	I sent you an e-vite. You never responded. Nice netiquette, jerk.
Deal!	Lis, that place is great! They have a jukebox in the basement! And look at the trick they taught me!
What happened to the guards?! Okay, okay. Don't panic. Maybe they'll tire themselves out with their chant.	KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT. KILL THE RAT.
Marge, they're gonna kill me! I only did what I had to do to survive... in a style befitting a French monarch.	I call the balls of his feet!
Fly, Segway! Fly!	Marge, they're gonna kill me! I only did what I had to do to survive... in a style befitting a French monarch.
Marge! How did you get in here?	Homer! Homer, where are you?
Marge, c'mon!	Oh, you must be Michael's dad!
We'll be safe in the gas chamber.	Marge, c'mon!
"Marge, I'm sorry I got you into this mess. Can I snitch on my heart and say... ""I love you""?"	I want you to look into the faces of those poor men -- each one is a life you made worse with your ratting.
Hold on a minute. Governor, I've been using my powers of snitching for evil. But now I want to tattle for good. This prison is a hellhole. They feed us horse meat -- with traces of jockey meat!	Done and done, sir.
The guards are sadistic and cruel!	I'll have you know I buy the finest cuts of beef.
...sleeping sweetly...	You know what I missed in the joint? Just lying here watching you sleeping sweetly... sleeping sweetly...
I won't tell if you don't tell.	...sleeping sweetly...
Listen to me! This whole building is unsafe. They cut corners everywhere. People, it's a death trap!	I won't tell if you don't tell.
How do you know the title of my prophetic vision?	"No Dad, you fell asleep in front of the TV watching ""The Towering Inferno."""
What'd I miss? What'd I miss?	Oh it's so great. We can do anything now that scientists have invented magic. I'm so proud of you. Lisa, graduating two years early, and Bart... graduating.
Well, maybe I was partying so hard with my single friends last night, I forgot the rules.	Homer, we're separated now. You can't just walk in without knocking.
Why? Is it messing you up?	Well, maybe I was partying so hard with my single friends last night, I forgot the rules.
Stupid wildlife, serves 'em right.	She's really enjoying Alaska.
Oh, Marge...	When I was a kid we didn't show our affection by head-butting.
Oh, right. Separated.	Oh, Marge...
Son, sometimes people just grow apart, like me and your Mom.	Meh.
She'll realize she was a fool, when...	Son, sometimes people just grow apart, like me and your Mom.
Hey! Come back with my patio furniture!	She'll realize she was a fool, when...
Stupid flounders. Hey, I've got a great idea. We'll find some new lady friends.	Hey! Come back with my patio furniture!
C'mon, boy, we're hitting the town. After decompressing, of course.	Stupid flounders. Hey, I've got a great idea. We'll find some new lady friends.
There's a DVD player but it doesn't work.	C'mon, boy, we're hitting the town. After decompressing, of course.
I know! It's a hover car!	There's a DVD player but it doesn't work.
You wish, loser!	All right! You guys are my new best friends.
Hey Moe, hey Moe-clone.	You wish, loser!
Boy, I think I see my two favorite letters of the alphabet. E-Z.	Watch it with the attitude, Mister. You came from my back fat!
Son, say hello to Edna.	Oh please, not this again.
Oopsie.	Son, say hello to Edna.
Hey, man, she's not my lady anymore. We split up, it's all cool, I... I'll kill you!	Actually, Homer, I'm... into your lady.
Marge, I thought you'd never take me back after what I did to Krusty.	But what happens to our parents?
Exactly.	You mean get beaten up by him?
You don't know the half of it.	And I'll admit, it is kinda romantic under the sea.
Don't worry, Marge -- Hot Wheels to the rescue!	Homer, do something about this leak!
The water flows down here, through the straightaway, a couple of wicked S-turns...	Don't worry, Marge -- Hot Wheels to the rescue!
Around the loop of death...And out the mail slot! Then it's the yard's problem.	The water flows down here, through the straightaway, a couple of wicked S-turns...
Aw, that's it. I'm going to Moe's!	That teddy bear survived three safety recalls, but it couldn't survive you!
It's raining outside.	Aw, that's it. I'm going to Moe's!
Stupid Homer-hating family. At least there's one place I'm always welcome.	Lousy cat.
Aw, guys. This is just what I needed.	FOR HE'S A JOLLY GOOD FELLOW...
So what's Stephen Hawking doing here?	This ain't for you, sweat stain. It's a surprise party for Lenny, thrown by his closest friends.
So why didn't you invite me?	I live here now. You're looking at the new owner of the Little Caesar's down the street. Pizza, pizza. Pizza, pizza, pizza, pizza, pizza, pizza. Sorry. That button sticks.
I wouldn't ruin a surprise for Lenny.	We couldn't tell you ahead of time, because you'd spill the beans.
I'm sorry. I'll just sit over here until you stop being mad at me.	Six years' planning down the drain!
Hey, watch what you say about him. I think Ray could be the one.	I'm sorry. I'll just sit over here until you stop being mad at me.
Well, I can see I'm not wanted here.	Oh great, Homer! I bake a cake shaped like Lenny's favorite barstool, and you wreck it.
My family hates me... my stupid friends kick me out of their stupid party! They'll all be sorry when I invent the world's best-tasting cola... and share it with no one!	No thanks, I'm on Atkins.
Finally, a bar for men who like to drink and look at sexy women.	A sign!
I'd like a beer and a sympathetic ear.	Read the sign, pre-vert.
How did it ever come to this? I'm the first man ever to feel depressed in a bar. I don't have a friend in the world.	I got my own problems. I just lost this eye last night.
The sun.	I haven't seen this much melted cheese since I left my Billy Joel albums out in the sun.
Wow, it's been so long since I've been with someone who doesn't know what a selfish pig I am.	Hey, you wanna split this?
Mine. Oh, move your hand. I get this!	Wow, it's been so long since I've been with someone who doesn't know what a selfish pig I am.
Ray, you know me better than anyone. How can I get my wife to love me again?	Hey, my name's Ray -- Ray Magini.
Ray, will you help me fix my roof?	Beats me -- I'm no marriage counselor. Just a licensed and bonded roofer.
Wait, did I add that right?	Sure, I'll help ya, under one condition -- you gotta help me finish this pitcher of beer.
To my new buddy. Now all we need is an awesome theme song. Whatever plays next on the jukebox.	Now, for my first act as President...
Next song. / That's what I meant. / Absolutely.	DO THAT TO ME ONE MORE TIME / ONCE IS NEVER ENOUGH / WITH A MAN LIKE YOU...
I think that means six more weeks of Autumn.	Homer! I woke up to find an owl eating a mouse on the pillow next to me.
Don't worry, honey. I found us a roofer last night, and you'll never guess where.	It means you have to fix the roof!
How did you know?	Knockers on route 98.
You're right, Marge -- I guess I should look for roofers at poetry slams and yoga retreats.	I'm psychic. Look, I don't know if I want a roofer who hangs out in bars.
High-five!	You're right, Marge -- I guess I should look for roofers at poetry slams and yoga retreats.
Ray would high-five me.	Eh, I got standards. I don't hand out high-fives like Chiclets.
Oh Ray! You came at the agreed-upon time.	Hey, Homer.
"""Impresses."" What a big word! I'm gonna look that up."	That's what I like about you, Homer. Everything impresses you.
I didn't really check. I mainly bought this house for the view.	Ah, this is gonna take some work. Tell me, was the roof in good condition when you bought the house?
Some day that bowl will overflow, and I'll be there.	I didn't really check. I mainly bought this house for the view.
Sorry about that, pal.	Yeah, okay, thank you. Why don't you go find a parade and rain on it?
One, two, three, four -- I declare a nail war!	No problem. Accidents happen.
Ned, are you okay?	Hey Homer!
Goodbye, Ray! Bye! Oh, he turned the corner. Ooh! Now I see him again!	Oh sorry man, I gotta go. This says my kid attempted something. I hate the way these things cut off.
Don't worry -- Ray'll be back any minute.	And why is the hole in the roof even bigger?
My new best friend. We think alike, we act alike, we finish each other's sandwiches...	It's after six -- he's not coming back. He's a lousy roofer and a flake!
Ray's not gonna like that.	I don't want to hear any more about Ray. Tomorrow morning you buy some shingles and fix that roof yourself.
Well if I was, we'd have taller kids!	You're not married to Ray!
You know son, my dad used to take me down to Johnson's Hardware. Old man Johnson knew everything about fixin' stuff. When they built this place, he hung himself.	I wish I knew.
What's in the box?	Hey Homer! Look, I just came down with a case of shingles.
Of course we are! If you wanna be.	Hey, I'm real sorry I never made it back yesterday. I hope we're still friends?
I don't have to -- Ray's gonna be here any minute.	What are you doing? Why aren't you fixing the roof?
All right, then you can just look at the portrait I painted of him.	I'm so sick of hearing about that stupid, unreliable Ray! Who, by the way, I've never even met!
Something like that.	Homer, how did you think I'd feel when I saw that?
Did you make enough for Ray?	Homer, come down for dinner.
